"Jahr","StatZoneSort","StatZoneCd","StatZoneLang","QuarSort","QuarCd","QuarLang","KreisSort","KreisCd","KreisLang","ProjStatus","ProjStatusSort","EigentumsartSort","Eigentumsart","AnzWhg"
2009,20,"02105","Manegg",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",4,"Natürliche Personen",0
2009,20,"02105","Manegg",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2009,20,"02105","Manegg",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",1,"Öffentliche Hand",0
2009,20,"02105","Manegg",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2009,20,"02105","Manegg",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",3,"Übrige private Gesellschaften",0
2009,20,"02105","Manegg",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",4,"Natürliche Personen",0
2009,20,"02105","Manegg",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",5,"Im Stockwerkeigentum",0
2009,21,"02106","Waschanstalt",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",1,"Öffentliche Hand",0
2009,21,"02106","Waschanstalt",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2009,21,"02106","Waschanstalt",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2009,21,"02106","Waschanstalt",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",4,"Natürliche Personen",0
2009,21,"02106","Waschanstalt",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2009,21,"02106","Waschanstalt",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",1,"Öffentliche Hand",0
2009,21,"02106","Waschanstalt",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2009,21,"02106","Waschanstalt",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",3,"Übrige private Gesellschaften",0
2009,21,"02106","Waschanstalt",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",4,"Natürliche Personen",0
2009,21,"02106","Waschanstalt",21,"021","Wollishofen",2,"2","Kreis 2","Im Bau","6703",5,"Im Stockwerkeigentum",0
2009,22,"02107","Auf der Egg",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",1,"Öffentliche Hand",0
2009,22,"02107","Auf der Egg",21,"021","Wollishofen",2,"2","Kreis 2","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
